id,dbn,school_name,cohort_year,cohort_category,students,grads,regents,adv_regents,local,enrolled,dropouts,address,long,lat
1,"01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",2004,"4 Year June",55,37,0,17,20,15,3,NULL,-73.9866,40.7134
2,"01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",2004,"5 Year",58,39,0,18,21,4,13,NULL,-73.9866,40.7134
3,"01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",2004,"6 Year",56,41,0,18,23,2,12,NULL,-73.9866,40.7134
4,"01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",2005,"4 Year June",64,43,0,27,16,9,9,NULL,-73.9866,40.7134
5,"01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",2005,"4 Year August",64,44,0,27,17,8,9,NULL,-73.9866,40.7134
6,"01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",2005,"5 Year",66,46,0,28,18,4,11,NULL,-73.9866,40.7134
7,"01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",2005,"6 Year",65,47,0,29,18,1,11,NULL,-73.9866,40.7134
8,"01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",2006,"4 Year June",78,43,0,36,7,16,11,NULL,-73.9866,40.7134
9,"01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",2006,"4 Year August",78,44,0,37,7,15,11,NULL,-73.9866,40.7134
10,"01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",2006,"5 Year June",71,44,0,36,8,0,19,NULL,-73.9866,40.7134
11,"01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",2006,"5 Year August",71,44,0,36,8,0,19,NULL,-73.9866,40.7134
12,"01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",2007,"4 Year June",77,41,0,28,13,25,5,NULL,-73.9866,40.7134
13,"01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",2007,"4 Year August",77,45,0,29,16,22,5,NULL,-73.9866,40.7134
14,"01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",2001,"4 Year June",64,46,7,25,14,10,6,NULL,-73.984,40.7123
15,"01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",2001,"5 Year",64,54,7,27,20,0,8,NULL,-73.984,40.7123
16,"01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",2001,"6 Year",64,54,7,27,20,0,8,NULL,-73.984,40.7123
17,"01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",2002,"4 Year June",52,33,8,11,14,16,1,NULL,-73.984,40.7123
18,"01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",2002,"5 Year",52,45,8,16,21,2,3,NULL,-73.984,40.7123
19,"01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",2002,"6 Year",52,45,8,16,21,2,3,NULL,-73.984,40.7123
20,"01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",2003,"4 Year June",87,67,11,28,28,9,11,NULL,-73.984,40.7123
21,"01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",2003,"5 Year",87,72,11,30,31,2,13,NULL,-73.984,40.7123
22,"01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",2003,"6 Year",89,73,11,30,32,1,14,NULL,-73.984,40.7123
23,"01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",2004,"4 Year June",112,75,6,30,39,33,4,NULL,-73.984,40.7123
24,"01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",2004,"5 Year",112,83,6,32,45,7,16,NULL,-73.984,40.7123
25,"01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",2004,"6 Year",109,84,6,33,45,1,19,NULL,-73.984,40.7123
26,"01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",2005,"4 Year June",121,64,4,31,29,41,11,NULL,-73.984,40.7123
27,"01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",2005,"4 Year August",121,70,4,31,35,35,11,NULL,-73.984,40.7123
28,"01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",2005,"5 Year",116,81,4,33,44,7,21,NULL,-73.984,40.7123
29,"01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",2005,"6 Year",112,83,4,33,46,1,23,NULL,-73.984,40.7123
30,"01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",2006,"4 Year June",124,53,8,34,11,46,20,NULL,-73.984,40.7123
31,"01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",2006,"4 Year August",124,60,8,34,18,39,20,NULL,-73.984,40.7123
32,"01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",2006,"5 Year June",116,72,8,35,29,11,25,NULL,-73.984,40.7123
33,"01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",2006,"5 Year August",116,77,8,36,33,6,25,NULL,-73.984,40.7123
34,"01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",2007,"4 Year June",150,99,17,60,22,25,17,NULL,-73.984,40.7123
35,"01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",2007,"4 Year August",150,106,17,63,26,18,17,NULL,-73.984,40.7123
36,"01M450","EAST SIDE COMMUNITY SCHOOL",2001,"4 Year June",61,41,0,40,1,7,12,NULL,-73.9824,40.7293
37,"01M450","EAST SIDE COMMUNITY SCHOOL",2001,"5 Year",61,45,0,44,1,1,14,NULL,-73.9824,40.7293
38,"01M450","EAST SIDE COMMUNITY SCHOOL",2001,"6 Year",61,46,0,45,1,0,14,NULL,-73.9824,40.7293
39,"01M450","EAST SIDE COMMUNITY SCHOOL",2002,"4 Year June",72,45,0,45,0,18,7,NULL,-73.9824,40.7293
40,"01M450","EAST SIDE COMMUNITY SCHOOL",2002,"5 Year",72,54,0,52,2,5,11,NULL,-73.9824,40.7293
41,"01M450","EAST SIDE COMMUNITY SCHOOL",2002,"6 Year",72,55,0,53,2,1,14,NULL,-73.9824,40.7293
42,"01M450","EAST SIDE COMMUNITY SCHOOL",2003,"4 Year June",79,49,0,44,5,20,10,NULL,-73.9824,40.7293
43,"01M450","EAST SIDE COMMUNITY SCHOOL",2003,"5 Year",79,59,0,51,8,2,17,NULL,-73.9824,40.7293
44,"01M450","EAST SIDE COMMUNITY SCHOOL",2003,"6 Year",78,59,0,51,8,1,17,NULL,-73.9824,40.7293
