id,dbn,school_name,cohort_year,cohort_category,students,grads,regents,adv_regents,local,enrolled,dropouts,address,long,lat
13,"01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",2007,"4 Year August",77,45,0,29,16,22,5,NULL,-73.9866,40.7134
35,"01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",2007,"4 Year August",150,106,17,63,26,18,17,NULL,-73.984,40.7123
57,"01M450","EAST SIDE COMMUNITY SCHOOL",2007,"4 Year August",89,63,0,63,0,16,7,NULL,-73.9824,40.7293
79,"01M509","MARTA VALLE SECONDARY SCHOOL",2007,"4 Year August",95,53,8,29,16,22,15,NULL,-73.9861,40.7202
101,"01M515","LOWER EAST SIDE PREPARATORY HIGH SCHOOL",2007,"4 Year August",235,81,42,29,10,80,69,NULL,-73.9862,40.72
117,"01M539","NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2007,"4 Year August",128,122,88,34,0,3,3,NULL,-73.9796,40.7191
139,"01M650","CASCADES HIGH SCHOOL",2007,"4 Year August",118,50,0,32,18,49,18,NULL,-73.9905,40.7223
161,"01M696","BARD HIGH SCHOOL EARLY COLLEGE",2007,"4 Year August",125,123,0,123,0,1,1,NULL,-73.9761,40.7183
171,"02M047","AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL",2007,"4 Year August",23,16,1,11,4,4,1,NULL,-73.9816,40.7384
184,"02M288","FOOD AND FINANCE HIGH SCHOOL",2007,"4 Year August",90,73,0,65,8,6,8,NULL,-73.993,40.7655
197,"02M294","ESSEX STREET ACADEMY",2007,"4 Year August",80,54,0,19,35,13,8,NULL,-73.9894,40.717
210,"02M296","HIGH SCHOOL OF HOSPITALITY MANAGEMENT",2007,"4 Year August",82,65,3,57,5,11,6,NULL,-73.9933,40.7656
223,"02M298","PACE HIGH SCHOOL",2007,"4 Year August",94,86,28,53,5,6,2,NULL,-73.9935,40.7164
236,"02M300","URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION",2007,"4 Year August",86,57,0,52,5,23,4,NULL,-73.9935,40.7657
246,"02M303","FACING HISTORY SCHOOL (THE)",2007,"4 Year August",79,42,7,33,2,17,16,NULL,-73.9929,40.7656
256,"02M305","URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW",2007,"4 Year August",59,40,1,33,6,6,12,NULL,-73.9896,40.7171
266,"02M308","LOWER MANHATTAN ARTS ACADEMY",2007,"4 Year August",63,48,1,33,14,7,5,NULL,-73.9895,40.7174
282,"02M313","JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR",2007,"4 Year August",109,53,0,42,11,42,11,NULL,-74.0025,40.7436
292,"02M316","URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN",2007,"4 Year August",61,49,0,32,17,8,4,NULL,-74.013,40.7054
302,"02M374","GRAMERCY ARTS HIGH SCHOOL",2007,"4 Year August",72,56,2,46,8,10,4,NULL,-73.9873,40.7356
